method,sf,epsilon,theta,n_wdr,seed,obj,solve_time,total_duration,satisfied_rate,status
EIFICA,1.0,0.03,0.06,50,0,66592.38342868332,4.840519189834595,6.565209150314331,0.9756,2
EIFICA,1.0,0.03,0.06,50,100,53857.141430373085,4.953224420547485,6.625817537307739,0.9388,2
EIFICA,1.0,0.03,0.06,50,200,62000.5965422714,4.10154128074646,5.258048057556152,0.9812,2
EIFICA,1.0,0.03,0.06,50,300,57687.074502243755,4.123407363891602,5.392111539840698,0.9674,2
ExactLHS,1.0,0.03,0.06,50,100,53965.52053819097,65.95004725456238,67.67085075378418,0.6708,2
EIFICA,1.0,0.03,0.06,50,400,58897.48534898831,4.123111724853516,5.340416193008423,0.9158,2
ExactLHS,1.0,0.03,0.06,50,0,66604.5818773439,108.62548065185547,110.32985806465149,0.7306,2
EIFICA,1.0,0.03,0.06,50,500,58565.056947132674,4.08628511428833,5.234547138214111,0.9272,2
ExactLHS,1.0,0.03,0.06,50,300,57740.51638558293,164.05902409553528,165.21845245361328,0.6206,2
ExactLHS,1.0,0.03,0.06,50,400,58913.729938227414,111.46732974052429,112.69725155830383,0.6852,2
EIFICA,1.0,0.03,0.06,50,600,53789.530180645655,4.386731863021851,6.130834341049194,0.8952,2
EIFICA,1.0,0.03,0.06,50,700,65471.579234650926,4.252228498458862,5.424214124679565,0.9982,2
ExactLHS,1.0,0.03,0.06,50,500,58612.440218830576,100.86279249191284,102.11071014404297,0.7264,2
EIFICA,1.0,0.03,0.06,50,800,56022.673600469134,4.530634164810181,6.303943395614624,0.931,2
ExactLHS,1.0,0.03,0.06,50,200,62024.84090746376,226.31498527526855,227.50053596496582,0.749,2
EIFICA,1.0,0.03,0.06,50,900,53767.98549461965,4.291036605834961,5.978667736053467,0.9312,2
ExactLHS,1.0,0.03,0.06,50,600,53827.72529883918,86.16150975227356,87.86750769615173,0.6678,2
EIFICA,1.0,0.03,0.06,80,0,66592.3834392481,5.23285436630249,6.450596570968628,0.9756,2
ExactLHS,1.0,0.03,0.06,50,900,53804.373618333884,92.13771843910217,93.28397130966187,0.744,2
EIFICA,1.0,0.03,0.06,80,100,53861.297900528145,5.17357063293457,6.872874975204468,0.9622,2
ExactLHS,1.0,0.03,0.06,50,700,65471.579233437194,181.0272421836853,182.35119676589966,0.6866,2
EIFICA,1.0,0.03,0.06,80,200,62000.59655307547,5.259090900421143,6.982905626296997,0.9812,2
ExactLHS,1.0,0.03,0.06,50,800,56053.99561281067,248.96146368980408,250.16889214515686,0.6212,2
EIFICA,1.0,0.03,0.06,80,300,57687.074502703595,5.2869648933410645,7.026686429977417,0.9674,2
ExactLHS,1.0,0.03,0.06,80,0,66616.00295288213,260.3923451900482,261.7073185443878,0.6636,2
EIFICA,1.0,0.03,0.06,80,400,58897.83418930552,5.274176120758057,6.413874626159668,0.9218,2
ExactLHS,1.0,0.03,0.06,80,100,54016.72705362881,209.1330943107605,210.28650736808777,0.7326,2
ExactLHS,1.0,0.03,0.06,80,200,62034.333973862,171.96713876724243,173.14685320854187,0.7426,2
EIFICA,1.0,0.03,0.06,80,500,58569.81553949934,5.172982931137085,6.871518611907959,0.9304,2
EIFICA,1.0,0.03,0.06,80,600,53805.65487873931,5.03672194480896,6.1791558265686035,0.9292,2
ExactLHS,1.0,0.03,0.06,80,300,57765.17575884985,173.3087260723114,174.48979711532593,0.7418,2
EIFICA,1.0,0.03,0.06,80,700,65471.57923386633,5.196615695953369,6.881508111953735,0.999,2
ExactLHS,1.0,0.03,0.06,80,500,58644.995895028944,116.89311146736145,118.60251784324646,0.6864,2
EIFICA,1.0,0.03,0.06,80,800,56024.28474104292,4.996297597885132,6.134351015090942,0.9518,2
ExactLHS,1.0,0.03,0.06,80,600,53885.807619537074,207.80059099197388,209.08860158920288,0.6946,2
