method,sf,epsilon,n_wdr,seed,obj,solve_time,total_duration,satisfied_rate
EIFICA,1.0,0.03,30,200,45091.89972059186,2.5563530921936035,4.242233991622925,0.8146
EIFICA,1.0,0.03,30,0,48271.525741972335,2.558974266052246,4.245045900344849,0.9074
EIFICA,1.0,0.03,30,100,38881.19014927733,2.5602447986602783,4.252671718597412,0.4706
EIFICA,1.0,0.03,30,300,41703.936424841944,2.569378614425659,4.290696859359741,0.9368
ExactLHS,1.0,0.03,30,0,48273.60485972561,4.866201877593994,6.5583579540252686,0.9618
ExactLHS,1.0,0.03,30,300,41713.07070132857,4.891456365585327,6.592958688735962,0.9496
ExactLHS,1.0,0.03,30,100,38885.555909812865,4.957698822021484,6.666220188140869,0.952
ExactLHS,1.0,0.03,30,200,45104.93632503647,5.0051429271698,6.716504335403442,0.8546
EIFICA,1.0,0.03,30,400,42747.62292049268,1.7159059047698975,2.8615617752075195,0.7592
EIFICA,1.0,0.03,30,500,42371.004531498584,1.7106099128723145,2.8387110233306885,0.4644
ExactLHS,1.0,0.03,30,400,42758.34292467406,3.985123634338379,5.133802652359009,0.9212
EIFICA,1.0,0.03,30,600,38885.90795359437,1.6932556629180908,2.818504810333252,0.633
ExactLHS,1.0,0.03,30,500,42374.306612863234,4.044202089309692,5.209017992019653,0.928
EIFICA,1.0,0.03,30,700,47546.91125423427,1.7541191577911377,2.910344123840332,0.975
EIFICA,1.0,0.03,30,800,40483.799197992514,1.8531250953674316,2.976447343826294,0.5714
ExactLHS,1.0,0.03,30,600,38895.91125088942,4.086142063140869,5.209295034408569,0.9086
ExactLHS,1.0,0.03,30,700,47548.72551380779,4.146494626998901,5.300658464431763,0.9808
EIFICA,1.0,0.03,30,900,38709.96987364559,1.7393765449523926,2.882014274597168,0.9068
ExactLHS,1.0,0.03,30,800,40504.53455767185,4.074575424194336,5.196925401687622,0.8884
EIFICA,1.0,0.03,60,0,48272.2997567359,2.562718391418457,3.725876808166504,0.9528
EIFICA,1.0,0.03,60,100,38884.11055755114,2.5277767181396484,3.6506054401397705,0.966
ExactLHS,1.0,0.03,30,900,38727.173800793105,4.073468208312988,5.1937665939331055,0.9088
EIFICA,1.0,0.03,60,200,45146.856848657364,2.5739989280700684,3.7270286083221436,0.9766
EIFICA,1.0,0.03,60,300,41710.444278450406,2.469597578048706,3.735487222671509,0.9786
EIFICA,1.0,0.03,60,400,42750.99106168197,2.680837392807007,3.8084609508514404,0.761
EIFICA,1.0,0.03,60,500,42377.75993649339,2.529430627822876,3.817633867263794,0.4756
EIFICA,1.0,0.03,60,600,38904.34214641497,2.573916435241699,3.7202584743499756,0.8808
