method,epsilon,theta,n_wdr,seed,num_WT,num_Solar,obj,solve_time,total_duration,satisfied_rate
EIFICA,0.08,0.12,50,0,10,5,717415.4169959114,36.07007336616516,38.832019329071045,0.24420000000000003
FICA,0.08,0.12,50,10000,10,5,623252.9395906285,41.558655977249146,44.33882141113281,0.6258
FICA,0.08,0.12,50,0,10,5,717443.2211667444,41.69647026062012,44.480276346206665,0.6481999999999999
EIFICA,0.08,0.12,50,10000,10,5,623228.5788628513,35.95290446281433,36.77634358406067,0.4596
EIFICA,0.08,0.12,50,20000,10,5,637570.8606460327,36.151116371154785,36.98490118980408,0.3122
FICA,0.08,0.12,50,20000,10,5,637603.7671243281,41.160629987716675,41.993934869766235,0.6718
FICA,0.08,0.12,50,30000,10,5,593427.1453811291,40.707234621047974,41.51957821846008,0.6832
EIFICA,0.08,0.12,50,30000,10,5,593418.3408017311,36.35710573196411,37.18417549133301,0.6244
FICA,0.08,0.12,50,40000,10,5,589090.8492475637,41.238762617111206,42.16166639328003,0.7174
EIFICA,0.08,0.12,50,40000,10,5,589083.8482264732,35.857672452926636,36.69571590423584,0.5626
EIFICA,0.08,0.12,80,0,10,5,717488.123997052,40.433685302734375,41.24682092666626,0.5846
EIFICA,0.08,0.12,80,10000,10,5,623501.8741197975,41.080904960632324,41.90387010574341,0.686
FICA,0.08,0.12,80,0,10,5,717504.7742394018,310.8540744781494,311.68375730514526,0.7422
FICA,0.08,0.12,80,10000,10,5,623518.6208267323,288.26220536231995,289.08396792411804,0.7544
EIFICA,0.08,0.12,80,20000,10,5,637779.1763539809,40.56446194648743,41.542093992233276,0.6460000000000001
EIFICA,0.08,0.12,80,30000,10,5,593486.8998263952,41.20055079460144,42.024404525756836,0.7374
FICA,0.08,0.12,80,20000,10,5,637796.0041358283,365.5001971721649,366.3273947238922,0.7772
EIFICA,0.08,0.12,80,40000,10,5,589212.9826224926,40.62793207168579,41.42440843582153,0.713
FICA,0.08,0.12,80,30000,10,5,593491.4529092351,332.77455711364746,333.6008954048157,0.777
FICA,0.08,0.12,80,40000,10,5,589220.3703101513,299.89414525032043,300.7339291572571,0.8044
EIFICA,0.08,0.12,100,0,10,5,717529.5841947163,124.94339656829834,125.78231048583984,0.7120000000000001
FICA,0.08,0.12,100,0,10,5,717543.8059843143,345.09940814971924,345.9237666130066,0.7929999999999999
EIFICA,0.08,0.12,100,10000,10,5,623578.0877656371,218.11046195030212,218.93962812423706,0.735
FICA,0.08,0.12,100,10000,10,5,623593.1864801137,379.30512833595276,380.25871324539185,0.7844
EIFICA,0.08,0.12,100,20000,10,5,637912.1461098583,115.04681921005249,115.88457679748535,0.7654
EIFICA,0.08,0.12,100,30000,10,5,593582.3678080526,129.2054750919342,130.02883386611938,0.8030000000000002
FICA,0.08,0.12,100,20000,10,5,637928.6290834913,562.526415348053,563.3278017044067,0.825
EIFICA,0.08,0.12,100,40000,10,5,589269.4137289788,128.9743640422821,129.78885984420776,0.7894
FICA,0.08,0.12,100,30000,10,5,593587.3183433962,486.0474171638489,486.8758511543274,0.8396000000000001
FICA,0.08,0.12,100,40000,10,5,589275.2186944301,413.1261315345764,413.96802520751953,0.857
EIFICA,0.08,0.12,150,0,10,5,717642.0404764618,435.0117812156677,435.8347852230072,0.8308
EIFICA,0.08,0.12,150,10000,10,5,623712.3027699853,346.0622296333313,346.8883833885193,0.7964
FICA,0.08,0.12,150,0,10,5,717650.188711029,896.7839860916138,897.6361532211304,0.867
FICA,0.08,0.12,150,10000,10,5,623725.4099849915,975.0018372535706,975.7882852554321,0.8344
EIFICA,0.08,0.12,150,20000,10,5,637983.467861392,431.67534279823303,432.51871275901794,0.8834000000000001
FICA,0.08,0.12,150,20000,10,5,637991.8620781887,844.0719137191772,844.9212613105774,0.8994
EIFICA,0.08,0.12,150,30000,10,5,593610.760047335,332.7698142528534,333.5814719200134,0.8476
EIFICA,0.08,0.12,150,40000,10,5,589347.4079942205,306.2675590515137,307.0864918231964,0.8582
FICA,0.08,0.12,150,30000,10,5,593622.9524899159,1167.35688829422,1168.2926948070526,0.8682
FICA,0.08,0.12,150,40000,10,5,589352.4642326726,868.742692232132,869.5820941925049,0.8884000000000001
EIFICA,0.08,0.12,200,0,10,5,717717.5398419802,541.6360125541687,542.4296481609344,0.9078
FICA,0.08,0.12,200,0,10,5,717721.909371026,1571.3990504741669,1572.2335393428802,0.91
FICA,0.08,0.12,200,10000,10,5,623952.2389305173,1431.888091802597,1432.7203149795532,0.8798
EIFICA,0.08,0.12,200,20000,10,5,638018.7640487237,588.223788022995,589.0287835597992,0.9066
EIFICA,0.08,0.12,200,10000,10,5,623945.295970192,2061.4456939697266,2062.2396211624146,0.8584
EIFICA,0.08,0.12,200,30000,10,5,593766.9801634655,634.5102288722992,635.304126739502,0.8822
FICA,0.08,0.12,200,20000,10,5,638029.0473807098,2320.5981192588806,2321.469022989273,0.9172
EIFICA,0.08,0.12,200,40000,10,5,589385.7501048344,528.7504119873047,529.6872408390045,0.8783999999999998
FICA,0.08,0.12,200,30000,10,5,593783.6460710013,2229.3883216381073,2230.2164211273193,0.9124
FICA,0.08,0.12,200,40000,10,5,589391.5941420712,1604.6320939064026,1607.473263502121,0.907
EIFICA,0.08,0.12,250,0,10,5,717734.1205210064,1640.88507437706,1641.7065382003784,0.9138
EIFICA,0.08,0.12,250,10000,10,5,623996.1999094622,737.661082983017,738.4648702144623,0.9038
FICA,0.08,0.12,250,10000,10,5,624001.867569099,2505.1277644634247,2506.018430709839,0.9153999999999999
EIFICA,0.08,0.12,250,20000,10,5,638051.9377904576,866.5256476402283,867.3281846046448,0.9272
FICA,0.08,0.12,250,0,10,5,717739.8016402592,4094.5556812286377,4095.3842256069183,0.9186
FICA,0.08,0.12,250,30000,10,5,593803.2548305904,2483.7429978847504,2484.5327293872833,0.9272
FICA,0.08,0.12,250,20000,10,5,638056.9955784125,3951.244894504547,3952.0662698745728,0.9306
EIFICA,0.08,0.12,250,30000,10,5,593789.4229132888,3034.215690135956,3035.080924510956,0.9098
EIFICA,0.08,0.12,250,40000,10,5,589474.1814786284,1851.6953461170197,1854.3110899925232,0.9098
FICA,0.08,0.12,250,40000,10,5,589480.9044130371,2459.896575689316,2460.723690509796,0.9275999999999999
EIFICA,0.08,0.12,300,0,10,5,717777.2086641107,1212.9964566230774,1213.8354527950287,0.9330000000000002
FICA,0.08,0.12,300,0,10,5,717783.4819309042,5209.950306892395,5210.779827833176,0.9362
FICA,0.08,0.12,300,10000,10,5,624091.446917077,4280.014909029007,4280.840955495834,0.9275999999999999
EIFICA,0.08,0.12,300,10000,10,5,624086.2528596553,4283.64625954628,4284.45023393631,0.9186
EIFICA,0.08,0.12,300,20000,10,5,638064.931508072,1222.4332914352417,1223.2541661262512,0.931
FICA,0.08,0.12,300,20000,10,5,638068.3697907348,3850.5372455120087,3851.364895105362,0.934
EIFICA,0.08,0.12,300,30000,10,5,593796.3409270609,2000.9881274700165,2001.8207104206085,0.9246
FICA,0.08,0.12,300,40000,10,5,589527.981282979,3287.959218978882,3288.7746913433075,0.9408
FICA,0.05,0.1,50,0,10,5,719958.1883403524,40.32600498199463,41.14704489707947,0.6854
EIFICA,0.05,0.1,50,0,10,5,719924.9528220637,35.13077998161316,35.950435638427734,0.0946
FICA,0.05,0.1,50,10000,10,5,626471.4574671142,40.527214765548706,41.34170913696289,0.6678000000000001
EIFICA,0.05,0.1,50,10000,10,5,626426.2720065895,35.16390132904053,35.97784948348999,0.2686
FICA,0.05,0.1,50,20000,10,5,640523.6645983617,40.23020386695862,41.04168891906738,0.71
EIFICA,0.05,0.1,50,20000,10,5,640471.2391176182,34.944222927093506,35.76052808761597,0.0736
FICA,0.05,0.1,50,30000,10,5,596456.0924628731,40.50572657585144,41.31991720199585,0.7504
EIFICA,0.05,0.1,50,30000,10,5,596420.3349203034,35.07664155960083,35.89611554145813,0.1698
FICA,0.05,0.1,50,40000,10,5,591333.7055982407,40.12855911254883,40.94886040687561,0.7546
EIFICA,0.05,0.1,50,40000,10,5,591311.593235514,35.18568801879883,36.12052273750305,0.2906
FICA,0.05,0.1,80,0,10,5,720070.83521107,262.84206223487854,263.6667127609253,0.7668
EIFICA,0.05,0.1,80,0,10,5,720058.7947400142,38.9928765296936,39.82088255882263,0.37920000000000004
FICA,0.05,0.1,80,10000,10,5,626778.3483872012,284.37985944747925,287.2226243019104,0.7852
EIFICA,0.05,0.1,80,10000,10,5,626738.7685605593,39.73545289039612,40.56048631668091,0.473
FICA,0.08,0.12,300,30000,10,5,593809.2713397793,6555.736554145813,6556.571359395981,0.9328
EIFICA,0.05,0.1,80,20000,10,5,640735.6406203284,39.640944480895996,40.48182797431946,0.705
FICA,0.05,0.1,80,20000,10,5,640752.093735918,267.7127435207367,268.5620868206024,0.7862
EIFICA,0.05,0.1,80,30000,10,5,596519.6306603923,39.35896015167236,40.192214250564575,0.7912
FICA,0.05,0.1,80,30000,10,5,596527.3212030474,280.05625438690186,280.90891432762146,0.815
EIFICA,0.05,0.1,80,40000,10,5,591484.4649649644,39.837340116500854,40.68381905555725,0.4752
FICA,0.05,0.1,80,40000,10,5,591504.0472173428,265.1135821342468,265.92804169654846,0.8396000000000001
EIFICA,0.05,0.1,100,0,10,5,720125.8987824307,41.117311239242554,41.91097545623779,0.4228
FICA,0.05,0.1,100,0,10,5,720135.2036799889,325.1971035003662,326.04585552215576,0.8158
EIFICA,0.08,0.12,300,40000,10,5,589522.2191916136,4891.771312952042,4892.578332424164,0.922
EIFICA,0.05,0.1,100,10000,10,5,626837.7364432673,245.78896355628967,246.62406182289124,0.5806
FICA,0.05,0.1,100,10000,10,5,626868.1985726273,440.84502148628235,441.6712942123413,0.8198000000000001
EIFICA,0.05,0.1,100,20000,10,5,640923.1951734879,93.53247261047363,94.34444379806519,0.764
EIFICA,0.05,0.1,100,30000,10,5,596601.3011746892,42.682936668395996,43.51218509674072,0.8420000000000001
FICA,0.05,0.1,100,20000,10,5,640942.5364455548,401.47511768341064,402.2617862224579,0.8561999999999999
EIFICA,0.05,0.1,100,40000,10,5,591550.165448739,42.44021773338318,43.21353507041931,0.575
FICA,0.05,0.1,100,30000,10,5,596628.4475165611,329.37648248672485,330.19666504859924,0.8690000000000001
EIFICA,0.05,0.1,150,0,10,5,720298.831105319,104.9672417640686,105.765944480896,0.8624
FICA,0.05,0.1,100,40000,10,5,591567.9374762872,341.4712507724762,342.2985649108887,0.8859999999999999
EIFICA,0.05,0.1,150,10000,10,5,626995.3688903584,130.0282645225525,130.85954308509827,0.8104
FICA,0.05,0.1,150,0,10,5,720304.0848870515,649.0871369838715,649.8710401058197,0.8804
