method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,network,num_gen,timestamp
EIFICA,6,0.03,0.06,50,10000,OK,2157201.29784643,93.72585487365723,96.155517578125,0.4336,case118,38,2026-04-22 21:15:38
EIFICA,6,0.03,0.06,50,30000,OK,2059112.4364478313,94.01188254356384,96.46479344367981,0.1794,case118,38,2026-04-22 21:15:39
EIFICA,6,0.03,0.06,50,0,OK,2487150.8640080616,94.9067325592041,97.37441039085388,0.3438,case118,38,2026-04-22 21:15:40
EIFICA,6,0.03,0.06,50,20000,OK,2210964.646882271,95.90846061706543,98.42010164260864,0.0238,case118,38,2026-04-22 21:15:41
EIFICA,6,0.03,0.06,50,40000,OK,2052648.584643186,93.20052742958069,95.08730387687683,0.374,case118,38,2026-04-22 21:17:14
EIFICA,6,0.03,0.06,80,10000,OK,2157205.0991639304,107.81547689437866,109.69619274139404,0.9304,case118,38,2026-04-22 21:17:30
EIFICA,6,0.03,0.06,80,20000,OK,2210982.251456152,109.67912459373474,111.55058717727661,0.3224,case118,38,2026-04-22 21:17:33
EIFICA,6,0.03,0.06,80,0,OK,2487150.864054984,117.24441957473755,119.13368940353394,0.3586,case118,38,2026-04-22 21:17:38
EIFICA,6,0.03,0.06,80,30000,OK,2059119.8429963929,116.9836151599884,118.8588616847992,0.2938,case118,38,2026-04-22 21:19:13
EIFICA,6,0.03,0.06,100,0,OK,2487151.449219058,109.3971164226532,111.27307605743408,0.5098,case118,38,2026-04-22 21:19:24
EIFICA,6,0.03,0.06,80,40000,OK,2052648.9512362934,113.50392246246338,115.41841268539429,0.5646,case118,38,2026-04-22 21:19:26
EIFICA,6,0.03,0.06,100,10000,OK,2157205.0991995805,109.97531723976135,112.37915372848511,0.941,case118,38,2026-04-22 21:19:33
EIFICA,6,0.03,0.06,100,20000,OK,2210986.090764034,108.10942029953003,109.95550036430359,0.9438,case118,38,2026-04-22 21:21:03
EIFICA,6,0.03,0.06,100,30000,OK,2059125.6168846413,108.56308221817017,110.39840459823608,0.6174,case118,38,2026-04-22 21:21:15
EIFICA,6,0.03,0.06,100,40000,OK,2052649.1412125062,109.42808723449707,111.3089189529419,0.9974,case118,38,2026-04-22 21:21:17
EIFICA,6,0.03,0.06,150,0,OK,2487151.4492189386,123.59755778312683,125.48047423362732,0.5142,case118,38,2026-04-22 21:21:39
EIFICA,6,0.03,0.06,150,10000,OK,2157205.9503032095,122.54414057731628,124.3793363571167,0.9542,case118,38,2026-04-22 21:23:08
EIFICA,6,0.03,0.06,150,20000,OK,2210986.922477178,122.85590028762817,124.71765804290771,0.946,case118,38,2026-04-22 21:23:20
