method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,peak_rss_gib,peak_hwm_gib,peak_vmsize_gib,min_mem_available_gib,memory_samples,network,num_gen,timestamp
CVAR,6,0.03,0.06,50,10000,OK,2157202.3996003326,124.9246199131012,127.36606788635254,0.9068,5.970012664794922,6.403156280517578,15.607311248779297,491.5965232849121,7,case118,38,2026-06-19 23:42:00
CVAR,6,0.03,0.06,50,20000,OK,2210980.767601793,125.7297294139862,127.60096716880798,0.9468,6.00164794921875,6.435039520263672,16.061935424804688,491.51362228393555,7,case118,38,2026-06-19 23:44:08
CVAR,6,0.03,0.06,50,30000,OK,2059127.004610471,125.53299522399902,127.38865542411804,0.9712,6.048053741455078,6.481170654296875,16.064212799072266,491.0376281738281,7,case118,38,2026-06-19 23:46:15
CVAR,6,0.03,0.06,50,40000,OK,2052649.1412171966,125.56683683395386,127.41646432876587,0.9962,6.048198699951172,6.481346130371094,16.064212799072266,491.47545623779297,7,case118,38,2026-06-19 23:48:23
CVAR,6,0.03,0.06,80,10000,OK,2157208.9056249144,166.56264472007751,168.42599868774414,0.9756,5.309360504150391,9.58755874633789,17.730690002441406,491.63280868530273,8,case118,38,2026-06-19 23:51:12
CVAR,6,0.03,0.06,80,20000,OK,2210984.790039188,168.6866636276245,170.54908227920532,0.9768,5.310844421386719,9.599124908447266,17.735748291015625,491.69850158691406,8,case118,38,2026-06-19 23:54:03
CVAR,6,0.03,0.06,80,30000,OK,2059127.0045083836,169.59640288352966,171.60759115219116,0.9862,5.246723175048828,9.599124908447266,17.716663360595703,491.73888397216797,8,case118,38,2026-06-19 23:56:55
CVAR,6,0.03,0.06,80,40000,OK,2052649.1412238888,176.18936967849731,178.06668138504028,0.9988,5.251861572265625,9.599124908447266,17.721725463867188,491.70752334594727,8,case118,38,2026-06-19 23:59:54
CVAR,6,0.03,0.06,100,10000,OK,2157208.9054416614,198.02743458747864,199.88648748397827,0.9764,6.1358184814453125,11.731204986572266,19.77505874633789,490.82032775878906,9,case118,38,2026-06-20 00:03:14
CVAR,6,0.03,0.06,100,20000,OK,2210986.294960428,202.37180042266846,204.22954607009888,0.9756,6.140602111816406,11.737739562988281,19.784530639648438,490.8330612182617,9,case118,38,2026-06-20 00:06:39
CVAR,6,0.03,0.06,100,30000,OK,2059127.0052856137,204.14024090766907,205.99389147758484,0.989,6.141628265380859,11.750965118408203,19.871841430664062,490.8173065185547,9,case118,38,2026-06-20 00:10:05
CVAR,6,0.03,0.06,100,40000,OK,2052649.1413309888,198.67326068878174,200.52865839004517,0.9996,6.146060943603516,11.760276794433594,19.881088256835938,490.8106231689453,9,case118,38,2026-06-20 00:13:26
CVAR,6,0.03,0.06,150,10000,OK,2157209.184716273,306.8925607204437,308.74155735969543,0.9798,14.946266174316406,16.953197479248047,25.462425231933594,481.98213958740234,13,case118,38,2026-06-20 00:18:36
CVAR,6,0.03,0.06,150,20000,OK,2210987.6058560275,302.92881512641907,304.7934787273407,0.9828,15.074153900146484,16.966796875,25.462425231933594,481.8370552062988,13,case118,38,2026-06-20 00:23:41
CVAR,6,0.03,0.06,150,30000,OK,2059127.0055216905,311.98399448394775,313.88302063941956,0.9864,14.488750457763672,16.966796875,25.457454681396484,482.4289321899414,13,case118,38,2026-06-20 00:28:56
CVAR,6,0.03,0.06,150,40000,OK,2052649.1415569186,310.76390051841736,312.6500813961029,0.9996,14.938117980957031,16.966796875,25.448768615722656,482.0054817199707,13,case118,38,2026-06-20 00:34:09
CVAR,6,0.03,0.06,200,10000,OK,2157209.1845749044,416.72022128105164,418.581995010376,0.9796,18.7593994140625,22.086345672607422,29.786144256591797,478.1789741516113,16,case118,38,2026-06-20 00:41:09
CVAR,6,0.03,0.06,200,20000,OK,2210987.605838339,416.5276038646698,418.3854320049286,0.9828,19.99517822265625,22.100433349609375,30.249576568603516,476.9176483154297,16,case118,38,2026-06-20 00:48:08
CVAR,6,0.03,0.06,200,30000,OK,2059127.0045990688,413.4896981716156,415.4667122364044,0.9864,18.326805114746094,22.100433349609375,28.248416900634766,478.6255683898926,16,case118,38,2026-06-20 00:55:05
CVAR,6,0.03,0.06,200,40000,OK,2052649.141565057,412.89471554756165,414.78551197052,0.9996,20.340694427490234,22.113765716552734,30.262409210205078,476.5916290283203,16,case118,38,2026-06-20 01:02:00
CVAR,6,0.03,0.06,250,10000,OK,2157212.000855938,560.8277094364166,562.6721816062927,0.982,24.179122924804688,27.32575225830078,34.88765335083008,472.7084846496582,21,case118,38,2026-06-20 01:11:24
CVAR,6,0.03,0.06,250,20000,OK,2210987.7516067526,579.2609598636627,581.1417310237885,0.983,24.184219360351562,27.331974029541016,34.91393280029297,472.70215606689453,22,case118,38,2026-06-20 01:21:07
CVAR,6,0.03,0.06,250,30000,OK,2059127.0046548136,553.1066882610321,554.9756999015808,0.9858,24.186126708984375,27.33297348022461,34.92715835571289,472.7043991088867,21,case118,38,2026-06-20 01:30:23
CVAR,6,0.03,0.06,250,40000,OK,2052649.1421140695,572.1951994895935,574.0437977313995,0.9996,24.18628692626953,27.33367156982422,34.91393280029297,472.69590759277344,22,case118,38,2026-06-20 01:39:59
CVAR,6,0.03,0.06,300,10000,OK,2157212.1302154814,711.5998675823212,713.4372982978821,0.9822,30.78014373779297,32.45540237426758,42.59809875488281,466.137939453125,26,case118,38,2026-06-20 01:51:53
CVAR,6,0.03,0.06,300,20000,OK,2210990.0244913045,724.4255216121674,726.2616491317749,0.9872,29.926395416259766,32.4708251953125,42.61363983154297,467.0185241699219,27,case118,38,2026-06-20 02:04:01
CVAR,6,0.03,0.06,300,30000,OK,2059127.0053615975,714.3877489566803,716.2566063404083,0.9866,30.396888732910156,32.4708251953125,42.60811233520508,466.5229263305664,26,case118,38,2026-06-20 02:15:59
CVAR,6,0.03,0.06,300,40000,OK,2052649.1431781433,743.9251570701599,745.8137629032135,0.9996,29.871688842773438,32.4708251953125,42.59638595581055,466.9994201660156,27,case118,38,2026-06-20 02:28:26
CVAR,6,0.05,0.1,50,10000,OK,2157202.3993284944,127.64955186843872,129.52228116989136,0.907,6.075157165527344,32.4708251953125,16.16678237915039,490.8426055908203,7,case118,38,2026-06-20 02:30:37
CVAR,6,0.05,0.1,50,20000,OK,2210980.7680575205,126.46028852462769,128.32457423210144,0.9472,6.058586120605469,32.4708251953125,16.160751342773438,490.864803314209,7,case118,38,2026-06-20 02:32:46
CVAR,6,0.05,0.1,50,30000,OK,2059127.0045881309,122.270348072052,124.13914060592651,0.971,6.058544158935547,32.4708251953125,16.160751342773438,490.8769187927246,7,case118,38,2026-06-20 02:34:50
CVAR,6,0.05,0.1,50,40000,OK,2052649.14136494,124.14172840118408,125.98643088340759,0.9962,6.058490753173828,32.4708251953125,16.160751342773438,490.9048271179199,7,case118,38,2026-06-20 02:36:57
CVAR,6,0.05,0.1,80,10000,OK,2157208.9054365237,163.68578600883484,165.5491144657135,0.9756,5.314018249511719,32.4708251953125,17.814590454101562,491.66185760498047,8,case118,38,2026-06-20 02:39:43
CVAR,6,0.05,0.1,80,20000,OK,2210984.789953817,167.6724054813385,169.53395915031433,0.9768,5.339508056640625,32.4708251953125,17.82049560546875,491.63032150268555,8,case118,38,2026-06-20 02:42:33
CVAR,6,0.05,0.1,80,30000,OK,2059127.0049636113,163.55521750450134,165.38842701911926,0.9858,5.345367431640625,32.4708251953125,17.81543731689453,491.6343803405762,8,case118,38,2026-06-20 02:45:18
CVAR,6,0.05,0.1,80,40000,OK,2052649.141713319,162.1468904018402,164.09552645683289,0.9992,5.51751708984375,32.4708251953125,17.900035858154297,491.47754287719727,8,case118,38,2026-06-20 02:48:03
CVAR,6,0.05,0.1,100,10000,OK,2157208.905534901,197.90922570228577,199.73686289787292,0.9764,6.2159271240234375,32.4708251953125,19.901622772216797,490.7825469970703,9,case118,38,2026-06-20 02:51:23
CVAR,6,0.05,0.1,100,20000,OK,2210986.294855342,199.29343247413635,201.13125085830688,0.9756,6.203502655029297,32.4708251953125,20.01675796508789,490.79224014282227,9,case118,38,2026-06-20 02:54:45
CVAR,6,0.05,0.1,100,30000,OK,2059127.00465579,198.0008521080017,199.82357382774353,0.9886,6.191631317138672,32.4708251953125,20.02855682373047,490.7863121032715,9,case118,38,2026-06-20 02:58:05
CVAR,6,0.05,0.1,100,40000,OK,2052649.1412396177,188.7282395362854,190.57147336006165,0.9996,6.150413513183594,32.4708251953125,19.851329803466797,490.7942810058594,9,case118,38,2026-06-20 03:01:16
CVAR,6,0.05,0.1,150,10000,OK,2157209.1845483826,287.2978186607361,289.1475214958191,0.9798,15.632453918457031,32.4708251953125,27.301498413085938,481.294189453125,12,case118,38,2026-06-20 03:06:06
CVAR,6,0.05,0.1,150,20000,OK,2210987.605761262,312.62674164772034,314.4872601032257,0.9828,15.489791870117188,32.4708251953125,27.293102264404297,481.42816162109375,13,case118,38,2026-06-20 03:11:21
CVAR,6,0.05,0.1,150,30000,OK,2059127.0047514108,296.450400352478,298.2982189655304,0.9864,15.009162902832031,32.4708251953125,25.455787658691406,481.9310302734375,12,case118,38,2026-06-20 03:16:20
CVAR,6,0.05,0.1,150,40000,OK,2052649.1417925088,301.9639194011688,303.7905614376068,0.9996,15.62411880493164,32.4708251953125,27.284706115722656,481.2914924621582,13,case118,38,2026-06-20 03:21:25
CVAR,6,0.05,0.1,200,10000,OK,2157209.1848630514,418.68872714042664,420.53885078430176,0.9796,18.300312042236328,32.4708251953125,28.268115997314453,478.5824546813965,17,case118,38,2026-06-20 03:28:26
CVAR,6,0.05,0.1,200,20000,OK,2210987.6057478366,411.5652496814728,413.43644881248474,0.9828,18.290523529052734,32.4708251953125,28.254234313964844,478.6059455871582,16,case118,38,2026-06-20 03:35:20
CVAR,6,0.05,0.1,200,30000,OK,2059127.0055530104,431.6162407398224,433.6379044055939,0.9866,18.299579620361328,32.4708251953125,28.266387939453125,478.573673248291,17,case118,38,2026-06-20 03:42:35
CVAR,6,0.05,0.1,200,40000,OK,2052649.14143097,400.2256546020508,402.06853222846985,0.9996,18.309288024902344,32.4708251953125,28.2783203125,478.5669059753418,16,case118,38,2026-06-20 03:49:18
CVAR,6,0.05,0.1,250,10000,OK,2157212.000867905,547.9925923347473,549.862067937851,0.982,24.11336898803711,32.4708251953125,34.88928985595703,472.780330657959,21,case118,38,2026-06-20 03:58:29
