method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,peak_rss_gib,peak_hwm_gib,peak_vmsize_gib,min_mem_available_gib,memory_samples,network,num_gen,timestamp
CVAR,6,0.03,0.06,50,0,OK,2487153.980899637,126.69344782829285,129.13658261299133,0.95,5.448276519775391,6.412200927734375,14.660465240478516,492.1470375061035,7,case118,38,2026-06-19 07:38:06
CVAR,6,0.03,0.06,80,0,OK,2487153.980990126,169.14263486862183,171.01392436027527,0.9928,5.2920684814453125,9.570205688476562,17.721603393554688,492.3038635253906,8,case118,38,2026-06-19 07:40:58
CVAR,6,0.03,0.06,100,0,OK,2487153.981491781,195.00354170799253,196.8908052444458,0.9932,6.117118835449219,11.669544219970703,19.759315490722656,491.5022964477539,9,case118,38,2026-06-19 07:44:15
CVAR,6,0.03,0.06,150,0,OK,2487153.981080971,306.14461517333984,308.0145525932312,0.9974,14.952152252197266,16.845470428466797,25.38345718383789,482.6314353942871,13,case118,38,2026-06-19 07:49:24
CVAR,6,0.03,0.06,200,0,OK,2487153.9809037843,455.9507567882538,457.8233082294464,0.9978,18.29123306274414,22.043922424316406,28.20099639892578,479.2404022216797,18,case118,38,2026-06-19 07:57:02
CVAR,6,0.03,0.06,250,0,OK,2487153.983220307,571.4720106124878,573.3208584785461,0.9978,22.50354766845703,27.24230194091797,33.187156677246094,475.0122947692871,22,case118,38,2026-06-19 08:06:36
CVAR,6,0.03,0.06,300,0,OK,2487153.9827019675,711.9437413215637,713.7870907783508,0.998,29.88772964477539,32.432273864746094,42.53227615356445,467.6537551879883,26,case118,38,2026-06-19 08:18:31
CVAR,6,0.05,0.1,50,0,OK,2487153.9813853875,122.5585994720459,124.4013340473175,0.9494,6.244892120361328,32.432273864746094,16.09168243408203,491.3057861328125,7,case118,38,2026-06-19 08:20:37
CVAR,6,0.05,0.1,80,0,OK,2487153.9809001046,165.8031063079834,167.6473617553711,0.9922,5.350688934326172,32.432273864746094,17.762088775634766,492.1986045837402,8,case118,38,2026-06-19 08:23:25
CVAR,6,0.05,0.1,100,0,OK,2487153.981602153,194.18929958343503,196.01769852638245,0.9932,6.166007995605469,32.432273864746094,19.84971618652344,491.37871170043945,9,case118,38,2026-06-19 08:26:42
CVAR,6,0.05,0.1,150,0,OK,2487153.9808970587,301.2050793170929,303.0869469642639,0.9976,15.62710189819336,32.432273864746094,27.237564086914062,481.9039192199707,13,case118,38,2026-06-19 08:31:45
CVAR,6,0.05,0.1,200,0,OK,2487153.9808995263,406.9842147827149,408.82404470443726,0.9978,18.30414581298828,32.432273864746094,28.200973510742188,479.2307548522949,16,case118,38,2026-06-19 08:38:35
CVAR,6,0.05,0.1,250,0,OK,2487153.981458739,544.439005613327,546.2661828994751,0.9978,24.10943984985352,32.432273864746094,34.82421112060547,473.4018058776856,21,case118,38,2026-06-19 08:47:42
CVAR,6,0.05,0.1,300,0,OK,2487153.9809400067,714.1973037719727,716.0385794639587,0.9978,30.929344177246094,32.46607208251953,42.563358306884766,466.5515480041504,26,case118,38,2026-06-19 08:59:39
CVAR,6,0.08,0.12,50,0,OK,2483609.545513852,126.16063380241394,127.9906885623932,0.9436,6.090503692626953,32.46607208251953,16.095314025878906,491.4163780212402,7,case118,38,2026-06-19 09:01:49
CVAR,6,0.08,0.12,80,0,OK,2483609.545522356,159.77705883979797,161.6184642314911,0.9904,5.353302001953125,32.46607208251953,17.751968383789062,492.17272567749023,8,case118,38,2026-06-19 09:04:30
CVAR,6,0.08,0.12,100,0,OK,2483609.5455262675,198.21077871322632,200.0428502559662,0.9914,6.143535614013672,32.46607208251953,19.7771110534668,491.3987922668457,9,case118,38,2026-06-19 09:07:51
CVAR,6,0.08,0.12,150,0,OK,2483609.5454896456,298.9550077915192,300.7913470268249,0.9968,15.629192352294922,32.46607208251953,27.237564086914062,481.8816032409668,13,case118,38,2026-06-19 09:12:52
CVAR,6,0.08,0.12,200,0,OK,2483609.545513816,418.2668330669403,420.118022441864,0.9978,18.37833404541016,32.46607208251953,28.230152130126957,479.1190299987793,17,case118,38,2026-06-19 09:19:53
CVAR,6,0.08,0.12,250,0,OK,2483609.5455285134,569.7858922481537,571.6388947963715,0.9976,23.087329864501957,32.46607208251953,34.85854721069336,474.3866157531738,22,case118,38,2026-06-19 09:29:26
CVAR,6,0.08,0.12,300,0,OK,2483609.5455169976,740.2284922599792,742.0888271331787,0.9976,29.89087677001953,32.46607208251953,42.5310173034668,467.5817451477051,27,case118,38,2026-06-19 09:41:49
CVAR,6,0.1,0.15,50,0,OK,2483609.5454972885,125.97798538208008,127.84117031097412,0.9456,6.0980072021484375,32.46607208251953,16.102581024169922,491.4077835083008,7,case118,38,2026-06-19 09:43:58
CVAR,6,0.1,0.15,80,0,OK,2483609.54548571,161.9944188594818,163.85041785240173,0.9912,5.33355712890625,32.46607208251953,17.747150421142578,492.1894912719727,8,case118,38,2026-06-19 09:46:42
CVAR,6,0.1,0.15,100,0,OK,2483609.5457656025,197.80109167099,199.66100430488584,0.9918,6.146881103515625,32.46607208251953,19.783367156982425,491.4073066711426,9,case118,38,2026-06-19 09:50:03
CVAR,6,0.1,0.15,150,0,OK,2483609.545493199,295.8983736038208,297.7893228530884,0.9968,15.00629425048828,32.46607208251953,25.39185333251953,482.4872550964356,12,case118,38,2026-06-19 09:55:01
CVAR,6,0.1,0.15,200,0,OK,2483609.545619877,424.5305435657501,426.377703666687,0.9978,20.28531646728516,32.46607208251953,30.18058013916016,477.1779022216797,17,case118,38,2026-06-19 10:02:08
CVAR,6,0.1,0.15,250,0,OK,2483609.545562653,546.6248025894165,548.4502909183502,0.9976,24.119037628173828,32.46607208251953,34.834964752197266,473.3726348876953,21,case118,38,2026-06-19 10:11:17
CVAR,6,0.1,0.15,300,0,OK,2483609.546705328,748.4806253910065,750.3488314151764,0.9976,31.476367950439453,32.525672912597656,42.544410705566406,466.0005836486816,28,case118,38,2026-06-19 10:23:49
EIFICA,6,0.03,0.06,50,0,OK,2487150.8640216724,94.97704720497131,96.89362573623656,0.3438,2.618759155273437,32.525672912597656,12.095870971679688,494.9235420227051,6,case118,38,2026-06-19 10:25:28
EIFICA,6,0.03,0.06,80,0,OK,2487150.864008108,107.4347231388092,109.43414187431335,0.36,3.3503341674804688,32.525672912597656,12.76358413696289,494.2044677734375,6,case118,38,2026-06-19 10:27:17
EIFICA,6,0.03,0.06,100,0,OK,2487151.449218972,109.60855412483215,111.49174332618712,0.5098,3.853126525878906,32.525672912597656,13.624637603759766,493.69189071655273,6,case118,38,2026-06-19 10:29:09
EIFICA,6,0.03,0.06,150,0,OK,2487151.449218968,123.68812394142152,125.56593799591064,0.5142,5.263278961181641,32.525672912597656,15.354068756103516,492.2838134765625,7,case118,38,2026-06-19 10:31:15
EIFICA,6,0.03,0.06,200,0,OK,2487153.980904421,139.869690656662,141.85538625717163,0.9922,11.49416732788086,32.525672912597656,27.51718139648437,486.04723358154297,7,case118,38,2026-06-19 10:33:38
