network,eps,theta,N,m0,m0_frac,is_default,seed,method,solve_time,objective,satisfied_rate,status
case118,0.03,0.06,50,3,0.06,True,0,EIFICA,97.35276627540588,2487150.8640080406,0.3458,2
case118,0.03,0.06,50,3,0.06,True,10000,EIFICA,93.6083664894104,2157201.2978463476,0.4316,2
case118,0.03,0.06,50,3,0.06,True,20000,EIFICA,96.05405282974243,2210964.646881334,0.0232,2
case118,0.03,0.06,50,3,0.06,True,30000,EIFICA,95.02184557914734,2059112.4364260384,0.1796,2
case118,0.03,0.06,50,3,0.06,True,40000,EIFICA,95.27624487876892,2052648.5846437055,0.3736,2
case118,0.03,0.06,50,5,0.1,False,0,EIFICA,103.75170969963074,2487151.449218858,0.4782,2
case118,0.03,0.06,50,5,0.1,False,10000,EIFICA,102.02641916275024,2157201.297846609,0.438,2
case118,0.03,0.06,50,5,0.1,False,20000,EIFICA,102.46413135528564,2210980.3439520956,0.519,2
case118,0.03,0.06,50,5,0.1,False,30000,EIFICA,101.97683429718018,2059127.004480685,0.9288,2
case118,0.03,0.06,50,5,0.1,False,40000,EIFICA,98.7096745967865,2052649.1412090345,0.987,2
case118,0.03,0.06,50,10,0.2,False,0,EIFICA,91.32254981994629,2487151.449228784,0.49,2
case118,0.03,0.06,50,10,0.2,False,10000,EIFICA,91.73034477233887,2157202.399324255,0.8674,2
case118,0.03,0.06,50,10,0.2,False,20000,EIFICA,91.39191341400146,2210980.361156131,0.591,2
case118,0.03,0.06,50,10,0.2,False,30000,EIFICA,91.57887363433838,2059127.0044869971,0.93,2
case118,0.03,0.06,50,10,0.2,False,40000,EIFICA,91.79622173309326,2052649.1412131242,0.991,2
case118,0.03,0.06,50,20,0.4,False,0,EIFICA,93.58449649810791,2487153.980896388,0.9306,2
case118,0.03,0.06,50,20,0.4,False,10000,EIFICA,93.70492005348206,2157202.3993276884,0.878,2
case118,0.03,0.06,50,20,0.4,False,20000,EIFICA,93.75928592681885,2210980.767592191,0.9338,2
case118,0.03,0.06,50,20,0.4,False,30000,EIFICA,93.62466621398926,2059127.0044805445,0.9564,2
case118,0.03,0.06,50,20,0.4,False,40000,EIFICA,93.55999803543091,2052649.1412116566,0.9914,2
case118,0.03,0.06,50,50,1.0,False,0,EIFICA,97.33497929573059,2487153.980895593,0.94,2
case118,0.03,0.06,50,50,1.0,False,10000,EIFICA,97.47447347640991,2157202.399323528,0.8898,2
case118,0.03,0.06,50,50,1.0,False,20000,EIFICA,97.69379305839539,2210980.767591507,0.9378,2
case118,0.03,0.06,50,50,1.0,False,30000,EIFICA,97.63357496261597,2059127.0044895317,0.9606,2
case118,0.03,0.06,50,50,1.0,False,40000,EIFICA,97.62358140945435,2052649.141217973,0.993,2
case118,0.03,0.06,200,10,0.05,False,0,EIFICA,138.78429341316223,2487151.449233177,0.5184,2
case118,0.03,0.06,200,10,0.05,False,10000,EIFICA,138.0684370994568,2157207.864354836,0.974,2
case118,0.03,0.06,200,10,0.05,False,20000,EIFICA,137.6791648864746,2210986.9224534677,0.9468,2
case118,0.03,0.06,200,10,0.05,False,30000,EIFICA,138.3127179145813,2059127.0047643823,0.9886,2
case118,0.03,0.06,200,10,0.05,False,40000,EIFICA,139.45737266540527,2052649.141248961,0.9996,2
case118,0.03,0.06,200,12,0.06,True,0,EIFICA,139.29713654518127,2487153.980924811,0.992,2
case118,0.03,0.06,200,12,0.06,True,10000,EIFICA,139.60932230949402,2157207.8643464046,0.9746,2
case118,0.03,0.06,200,12,0.06,True,20000,EIFICA,138.94836378097534,2210986.9225265114,0.9468,2
case118,0.03,0.06,200,12,0.06,True,30000,EIFICA,139.10842990875244,2059127.004541499,0.9888,2
case118,0.03,0.06,200,12,0.06,True,40000,EIFICA,139.67792630195618,2052649.1412203019,0.9994,2
case118,0.03,0.06,200,20,0.1,False,0,EIFICA,142.43940949440002,2487153.9809084386,0.9972,2
case118,0.03,0.06,200,20,0.1,False,10000,EIFICA,141.50346899032593,2157207.8643793236,0.975,2
case118,0.03,0.06,200,20,0.1,False,20000,EIFICA,141.7635190486908,2210986.968091267,0.9564,2
case118,0.03,0.06,200,20,0.1,False,30000,EIFICA,141.22583961486816,2059127.004498891,0.9888,2
case118,0.03,0.06,200,20,0.1,False,40000,EIFICA,142.60044264793396,2052649.1412312973,0.9996,2
case118,0.03,0.06,200,40,0.2,False,0,EIFICA,144.38064789772034,2487153.980896168,0.9972,2
case118,0.03,0.06,200,40,0.2,False,10000,EIFICA,145.31891417503357,2157209.1845364124,0.9798,2
case118,0.03,0.06,200,40,0.2,False,20000,EIFICA,145.32311153411865,2210987.6053561303,0.9828,2
case118,0.03,0.06,200,40,0.2,False,30000,EIFICA,147.87623691558838,2059127.0046656737,0.9884,2
case118,0.03,0.06,200,40,0.2,False,40000,EIFICA,147.135657787323,2052649.1412072517,0.9998,2
case118,0.03,0.06,200,80,0.4,False,0,EIFICA,152.01354002952576,2487153.9809035347,0.9978,2
case118,0.03,0.06,200,80,0.4,False,10000,EIFICA,151.73943495750427,2157209.1846494786,0.98,2
case118,0.03,0.06,200,80,0.4,False,20000,EIFICA,153.0322551727295,2210987.605203488,0.9828,2
case118,0.03,0.06,200,80,0.4,False,30000,EIFICA,152.09662175178528,2059127.0044856444,0.9884,2
case118,0.03,0.06,200,80,0.4,False,40000,EIFICA,151.32993412017822,2052649.1412435153,0.9996,2
case118,0.03,0.06,200,200,1.0,False,0,EIFICA,858.4838342666626,2487153.981318571,0.9972,2
case118,0.03,0.06,200,200,1.0,False,10000,EIFICA,823.1532294750214,2157209.184563489,0.9802,2
case118,0.03,0.06,200,200,1.0,False,20000,EIFICA,828.1043283939362,2210987.6060818,0.9828,2
case118,0.03,0.06,200,200,1.0,False,30000,EIFICA,901.4153437614441,2059127.0049852608,0.9884,2
case118,0.03,0.06,200,200,1.0,False,40000,EIFICA,816.8220565319061,2052649.141299823,0.9996,2
