method,num_ESS,epsilon,theta,N_WDR,seed,status,obj_value,solve_time,wall_time,satisfied_rate,timestamp
EIFICA,6,0.03,0.06,50,10000,OK,620281.4382473814,37.21357488632202,39.11050057411194,0.4306,2026-04-19 20:47:38
EIFICA,6,0.03,0.06,50,30000,OK,591165.511614928,37.325835943222046,39.19316291809082,0.2406,2026-04-19 20:47:38
EIFICA,6,0.03,0.06,50,0,OK,714536.4610669946,37.67901420593262,39.545766830444336,0.1176,2026-04-19 20:47:38
EIFICA,6,0.03,0.06,50,40000,OK,587027.8555888382,37.66188955307007,39.56516933441162,0.5454,2026-04-19 20:47:39
EIFICA,6,0.03,0.06,50,20000,OK,634817.1022025411,38.390551805496216,40.30243682861328,0.034,2026-04-19 20:47:39
EIFICA,6,0.03,0.06,80,0,OK,714644.57841784,45.30046343803406,47.201475858688354,0.2084,2026-04-19 20:47:46
EIFICA,6,0.03,0.06,80,10000,OK,620426.6592534081,43.841248750686646,45.170557737350464,0.6934,2026-04-19 20:48:23
EIFICA,6,0.03,0.06,80,20000,OK,635031.2536431229,44.00927948951721,45.32833909988403,0.3038,2026-04-19 20:48:24
EIFICA,6,0.03,0.06,80,30000,OK,591192.5178860191,44.24730896949768,45.55889415740967,0.3304,2026-04-19 20:48:24
EIFICA,6,0.03,0.06,80,40000,OK,587147.9381009722,44.28980612754822,45.60173845291138,0.4746,2026-04-19 20:48:24
EIFICA,6,0.03,0.06,100,0,OK,714711.0434484783,46.86463308334351,48.17727017402649,0.3896,2026-04-19 20:48:28
EIFICA,6,0.03,0.06,100,10000,OK,620442.1129593224,47.202126264572144,48.51691102981568,0.774,2026-04-19 20:48:35
EIFICA,6,0.03,0.06,100,20000,OK,635149.4643311579,46.89615988731384,48.35067248344421,0.8032,2026-04-19 20:49:12
EIFICA,6,0.03,0.06,100,30000,OK,591222.9968002704,46.79917073249817,48.23197054862976,0.6774,2026-04-19 20:49:12
EIFICA,6,0.03,0.06,100,40000,OK,587200.1699674191,47.09597253799439,48.53183889389038,0.5536,2026-04-19 20:49:13
EIFICA,6,0.03,0.06,150,0,OK,714844.7787584728,94.56122541427612,96.016441822052,0.4644,2026-04-19 20:50:00
EIFICA,6,0.03,0.06,150,10000,OK,620486.0055126051,130.88818526268005,132.22141242027283,0.8876,2026-04-19 20:50:40
EIFICA,6,0.03,0.06,150,20000,OK,635173.5371661214,135.13452577590942,136.46466898918152,0.8734,2026-04-19 20:50:51
EIFICA,6,0.03,0.06,150,40000,OK,587260.4847086562,134.72769975662231,136.05432415008545,0.9194,2026-04-19 20:51:28
EIFICA,6,0.03,0.06,150,30000,OK,591234.9124671476,149.1517550945282,150.46419620513916,0.84,2026-04-19 20:51:42
EIFICA,6,0.03,0.06,200,0,OK,714905.335238598,190.17071080207825,191.48641204833984,0.917,2026-04-19 20:52:24
EIFICA,6,0.03,0.06,200,10000,OK,620633.9738151352,178.78033018112183,180.10658264160156,0.9202,2026-04-19 20:53:01
EIFICA,6,0.03,0.06,200,20000,OK,635187.2453933056,214.61938786506653,216.04508757591248,0.9298,2026-04-19 20:54:16
EIFICA,6,0.03,0.06,200,30000,OK,591273.5210435437,238.15738248825076,239.5914785861969,0.921,2026-04-19 20:54:51
EIFICA,6,0.03,0.06,200,40000,OK,587299.620338813,224.49485540390012,226.00403499603271,0.9362,2026-04-19 20:55:14
EIFICA,6,0.03,0.06,250,10000,OK,620639.7532984241,264.8233263492584,266.16159677505493,0.954,2026-04-19 20:56:51
EIFICA,6,0.03,0.06,250,20000,OK,635199.5101631894,262.35601139068604,264.3769438266754,0.9416,2026-04-19 20:57:28
