Datetime;Resolution code;Region;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor
2025-12-31T16:45:00+01:00;PT15M;Antwerp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1958.7;0.0
2025-12-31T16:30:00+01:00;PT15M;Antwerp;0.747;1.045;0.625;1.412;1.188;0.759;2.205;1.216;0.602;2.708;1.331;1.096;2.17;1958.7;0.038
2025-12-31T16:15:00+01:00;PT15M;Antwerp;5.054;5.09;3.124;6.959;5.914;3.592;15.414;6.568;2.819;27.842;6.307;5.276;15.383;1958.7;0.258
2025-12-31T16:00:00+01:00;PT15M;Antwerp;14.628;12.205;7.575;17.101;14.169;8.128;41.941;16.109;6.338;71.253;14.747;12.253;45.279;1958.7;0.747
2025-12-31T15:45:00+01:00;PT15M;Antwerp;24.771;23.074;14.391;33.652;24.669;13.346;72.785;27.957;10.37;117.336;25.658;20.975;83.702;1958.7;1.265
2025-12-31T15:30:00+01:00;PT15M;Antwerp;37.231;37.107;22.946;55.845;37.369;19.164;105.296;42.195;14.873;162.356;39.286;31.359;121.911;1958.7;1.901
2025-12-31T15:15:00+01:00;PT15M;Antwerp;53.736;54.48;34.046;81.988;51.49;25.56;137.554;58.279;19.649;206.877;54.357;42.122;158.713;1958.7;2.743
2025-12-31T15:00:00+01:00;PT15M;Antwerp;69.008;75.24;48.502;111.025;66.048;32.429;168.025;74.241;24.9;249.986;69.632;53.071;193.624;1958.7;3.523
2025-12-31T14:45:00+01:00;PT15M;Antwerp;90.784;86.662;54.128;129.732;80.491;39.489;197.149;88.878;30.214;288.658;85.122;64.26;225.947;1958.7;4.635
2025-12-31T14:30:00+01:00;PT15M;Antwerp;118.324;106.963;68.655;156.726;94.61;46.229;226.928;102.248;34.982;320.217;100.149;74.96;257.93;1958.7;6.041
